Model,Repetition,Fold,Accuracy,F2-Score,Precision,Recall,AUC
KNN-7,6,4,0.8353831598864712,0.4276315789473684,0.21195652173913043,0.5735294117647058,0.7367884969963718
GaussianNB,6,5,0.8533585619678334,0.5099778270509978,0.2569832402234637,0.6764705882352942,0.8307708320942128
RandomForest,6,5,0.9176915799432356,0.42735042735042733,0.379746835443038,0.4411764705882353,0.8556028073514543
DecisionTree-pruned,6,5,0.8874172185430463,0.32345013477088946,0.24242424242424243,0.35294117647058826,0.6267768988282877
LogisticRegression,6,5,0.8561967833491012,0.5309734513274337,0.26666666666666666,0.7058823529411765,0.8397668470826146
MLP,6,5,0.8656575212866604,0.4976851851851852,0.26875,0.6323529411764706,0.817700588830072
KNN-3,6,5,0.859035004730369,0.45243619489559167,0.24528301886792453,0.5735294117647058,0.7542229227383571
KNN-5,6,5,0.8391674550614948,0.4673913043478261,0.22872340425531915,0.6323529411764706,0.7702744899779932
KNN-7,6,5,0.8278145695364238,0.4811715481171548,0.22330097087378642,0.6764705882352942,0.7735011598168084
GaussianNB,7,1,0.833648393194707,0.5042016806722689,0.23529411764705882,0.7058823529411765,0.7995320855614974
RandomForest,7,1,0.9196597353497165,0.34328358208955223,0.36507936507936506,0.3382352941176471,0.8253713606654782
DecisionTree-pruned,7,1,0.8648393194706995,0.2926208651399491,0.19008264462809918,0.3382352941176471,0.6159462269756388
LogisticRegression,7,1,0.8790170132325141,0.5516431924882629,0.3051948051948052,0.6911764705882353,0.8509358288770054
MLP,7,1,0.8846880907372401,0.472636815920398,0.2923076923076923,0.5588235294117647,0.8056743909685087
KNN-3,7,1,0.8544423440453687,0.3588516746411483,0.2054794520547945,0.4411764705882353,0.6713755199049317
KNN-5,7,1,0.8374291115311909,0.36363636363636365,0.19047619047619047,0.47058823529411764,0.7071375519904931
KNN-7,7,1,0.834593572778828,0.3897550111358575,0.1977401129943503,0.5147058823529411,0.7167855020796198
GaussianNB,7,2,0.8667296786389413,0.5316742081447964,0.28313253012048195,0.6811594202898551,0.8368722615436468
RandomForest,7,2,0.9319470699432892,0.5128205128205128,0.48,0.5217391304347826,0.8638648319924973
DecisionTree-pruned,7,2,0.889413988657845,0.3225806451612903,0.25,0.34782608695652173,0.6425829047053824
LogisticRegression,7,2,0.8459357277882797,0.5150214592274678,0.25263157894736843,0.6956521739130435,0.8336777010887881
MLP,7,2,0.8875236294896031,0.5314009661835749,0.3188405797101449,0.6376811594202898,0.8484488797057488
KNN-3,7,2,0.8431001890359168,0.4044943820224719,0.21301775147928995,0.5217391304347826,0.727905511349482
KNN-5,7,2,0.8119092627599244,0.3941908713692946,0.18446601941747573,0.5507246376811594,0.7516302516082707
KNN-7,7,2,0.8062381852551985,0.448207171314741,0.19911504424778761,0.6521739130434783,0.7556161252033236
GaussianNB,7,3,0.8468809073724007,0.4814004376367615,0.2430939226519337,0.6376811594202898,0.7977975117597924
RandomForest,7,3,0.9120982986767486,0.33236994219653176,0.32857142857142857,0.3333333333333333,0.8046335780542488
DecisionTree-pruned,7,3,0.8686200378071833,0.2356020942408377,0.16981132075471697,0.2608695652173913,0.5769771838044577
LogisticRegression,7,3,0.833648393194707,0.49266247379454925,0.23383084577114427,0.6811594202898551,0.8286953590949722
MLP,7,3,0.8809073724007561,0.40302267002518893,0.2644628099173554,0.463768115942029,0.7749007195087997
KNN-3,7,3,0.8478260869565217,0.36046511627906974,0.2012987012987013,0.4492753623188406,0.6982312685921953
KNN-5,7,3,0.8412098298676749,0.3837471783295711,0.20359281437125748,0.4927536231884058,0.741606951832476
KNN-7,7,3,0.8232514177693762,0.3952991452991453,0.19270833333333334,0.5362318840579711,0.7468237569789423
GaussianNB,7,4,0.8552507095553453,0.5470459518599562,0.2702702702702703,0.7352941176470589,0.8282132873371795
RandomForest,7,4,0.9271523178807947,0.4871060171919771,0.44155844155844154,0.5,0.8779218461904479
DecisionTree-pruned,7,4,0.8902554399243141,0.3723404255319149,0.2692307692307692,0.4117647058823529,0.6674597038006305
LogisticRegression,7,4,0.8628192999053926,0.5480984340044742,0.28,0.7205882352941176,0.8739070956997562
MLP,7,4,0.8855250709555346,0.5036855036855037,0.3037037037037037,0.6029411764705882,0.8213436031642183
KNN-3,7,4,0.8647114474929044,0.4491725768321513,0.25165562913907286,0.5588235294117647,0.7269969666329626
KNN-5,7,4,0.8457899716177862,0.44742729306487694,0.22857142857142856,0.5882352941176471,0.745338428596919
KNN-7,7,4,0.8315988647114475,0.4418103448275862,0.21354166666666666,0.6029411764705882,0.7736572890025575
GaussianNB,7,5,0.859035004730369,0.5689277899343544,0.2810810810810811,0.7647058823529411,0.8640412181050379
RandomForest,7,5,0.9309366130558183,0.42042042042042044,0.45901639344262296,0.4117647058823529,0.8378784274073634
DecisionTree-pruned,7,5,0.8864711447492905,0.34574468085106386,0.25,0.38235294117647056,0.6578912151311486
LogisticRegression,7,5,0.8807947019867549,0.5990783410138248,0.32098765432098764,0.7647058823529411,0.8608517218818771
MLP,7,5,0.8552507095553453,0.512249443207127,0.2598870056497175,0.6764705882352942,0.8171058109795991
KNN-3,7,5,0.8533585619678334,0.3681710213776722,0.2080536912751678,0.45588235294117646,0.7321566644858145
KNN-5,7,5,0.8325449385052034,0.3691275167785235,0.18857142857142858,0.4852941176470588,0.742178671266282
KNN-7,7,5,0.8240302743614002,0.4166666666666667,0.1989795918367347,0.5735294117647058,0.7630330696484863
GaussianNB,8,1,0.8516068052930057,0.5164835164835165,0.2568306010928962,0.6911764705882353,0.7937611408199644
RandomForest,8,1,0.9092627599243857,0.3448275862068966,0.3157894736842105,0.35294117647058826,0.8410204991087343
DecisionTree-pruned,8,1,0.8752362948960303,0.2777777777777778,0.19811320754716982,0.3088235294117647,0.6203877005347594
LogisticRegression,8,1,0.8506616257088847,0.5153508771929824,0.2554347826086957,0.6911764705882353,0.848425430778372
MLP,8,1,0.8676748582230623,0.4523809523809524,0.25675675675675674,0.5588235294117647,0.7946821152703505
KNN-3,8,1,0.8563327032136105,0.31862745098039214,0.19117647058823528,0.38235294117647056,0.7254010695187166
KNN-5,8,1,0.8402646502835539,0.37585421412300685,0.19760479041916168,0.4852941176470588,0.7437982768865123
KNN-7,8,1,0.8232514177693762,0.3978494623655914,0.19170984455958548,0.5441176470588235,0.7662284610814021
GaussianNB,8,2,0.8459357277882797,0.46255506607929514,0.23595505617977527,0.6086956521739131,0.7773625826116265
RandomForest,8,2,0.9234404536862004,0.3313253012048193,0.39285714285714285,0.3188405797101449,0.843473864685453
DecisionTree-pruned,8,2,0.8998109640831758,0.3443526170798898,0.28735632183908044,0.36231884057971014,0.6491918348207089
LogisticRegression,8,2,0.8752362948960303,0.49645390070921985,0.2857142857142857,0.6086956521739131,0.8299702524875076
MLP,8,2,0.8979206049149339,0.4755784061696658,0.3274336283185841,0.5362318840579711,0.8246508697117568
KNN-3,8,2,0.8733459357277883,0.3950617283950617,0.24806201550387597,0.463768115942029,0.7282718600254979
KNN-5,8,2,0.8525519848771267,0.41379310344827586,0.22641509433962265,0.5217391304347826,0.768379713075717
KNN-7,8,2,0.8516068052930057,0.45964125560538116,0.2411764705882353,0.5942028985507246,0.7716035814246566
GaussianNB,8,3,0.77882797731569,0.47706422018348627,0.19330855018587362,0.7536231884057971,0.8093374950542929
RandomForest,8,3,0.9111531190926276,0.36827195467422097,0.33766233766233766,0.37681159420289856,0.8337582977975119
DecisionTree-pruned,8,3,0.8733459357277883,0.3740648379052369,0.24,0.43478260869565216,0.668219985052974
LogisticRegression,8,3,0.8544423440453687,0.5591397849462365,0.2751322751322751,0.7536231884057971,0.8473498336777012
MLP,8,3,0.8752362948960303,0.5058823529411764,0.28859060402684567,0.6231884057971014,0.8086341055963424
KNN-3,8,3,0.8478260869565217,0.38018433179723504,0.2088607594936709,0.4782608695652174,0.7441347576969856
KNN-5,8,3,0.831758034026465,0.4121475054229935,0.20540540540540542,0.5507246376811594,0.764555032898111
KNN-7,8,3,0.8204158790170132,0.4279749478079332,0.2019704433497537,0.5942028985507246,0.7604665816737738
GaussianNB,8,4,0.8609271523178808,0.5543237250554324,0.27932960893854747,0.7352941176470589,0.83033961815262
RandomForest,8,4,0.9224219489120151,0.38461538461538464,0.3939393939393939,0.38235294117647056,0.8439525962053173
DecisionTree-pruned,8,4,0.8770104068117314,0.27925531914893614,0.20192307692307693,0.3088235294117647,0.6167400226015584
LogisticRegression,8,4,0.8666035950804163,0.5353075170842825,0.281437125748503,0.6911764705882353,0.8610004163444953
MLP,8,4,0.9044465468306528,0.5194805194805194,0.35398230088495575,0.5882352941176471,0.846725747933147
KNN-3,8,4,0.8561967833491012,0.3502415458937198,0.20422535211267606,0.4264705882352941,0.6674820079700232
KNN-5,8,4,0.8382213812677389,0.3448275862068966,0.18404907975460122,0.4411764705882353,0.680388687325284
KNN-7,8,4,0.8230842005676443,0.34216335540838855,0.1712707182320442,0.45588235294117646,0.7049158389341581
GaussianNB,8,5,0.8656575212866604,0.5777777777777777,0.29213483146067415,0.7647058823529411,0.8664054600606673
RandomForest,8,5,0.924314096499527,0.4479768786127168,0.4189189189189189,0.45588235294117646,0.8740483554392435
DecisionTree-pruned,8,5,0.8779564806054873,0.33766233766233766,0.23008849557522124,0.38235294117647056,0.6058109795991197
LogisticRegression,8,5,0.8401135288552507,0.5368421052631579,0.2512315270935961,0.75,0.865595075239398
MLP,8,5,0.8997161778618732,0.5025773195876289,0.33620689655172414,0.5735294117647058,0.8113959436150597
KNN-3,8,5,0.8647114474929044,0.4295942720763723,0.24489795918367346,0.5294117647058824,0.739859037649438
KNN-5,8,5,0.8278145695364238,0.4202586206896552,0.203125,0.5735294117647058,0.7475391066436687
